,- RANKL,- RANKL,- RANKL,- RANKL,- RANKL,+ RANKL,+ RANKL,+ RANKL,+ RANKL,+ RANKL
NHE1,0.00915642467226944,0.0076889338499724,0.00763583138802775,,,0.00793254413927355,0.00660145598858102,0.00715416541480803,,
NHE2,0.00000468993817645,0.00000511087197993,0.00000478185601546,,,0.00000892942855583,0.00001062629896531,0.00001459669043648,,
NHE3,0,0,0,,,0,0,0,,
NHE4,0,0,0,,,0,0,0,,
NHE5,0.000362683603707192,0.000354973515074792,0.000379924028912922,,,0.000683865419990052,0.000643844613232808,0.000628848352143051,,
NHE6,0.00208895933277834,0.00205877261596172,0.00207740582846663,,,0.00197627605498502,0.00189052037717683,0.00201360820868874,,
NHE7,0.00124382646198001,0.00106052877519434,0.00117265954754258,,,0.0020473860667254,0.00190103200368458,0.0018388252621965,,
NHE8,0.00371094052631898,0.00302258611973655,0.00250842942055495,,,0.00229069253338716,0.00207740582846663,0.00230342918761515,,
NHE9,0.00943998784409666,0.010202031205172,0.0118087549354073,,,0.00089365137069464,0.00053543513079325,0.00106642550210623,,
NHA1,0.000002600106974284,0.000001222276155827,0.000001753904489663,,,0.00003762366835272,0.000040717216321238,0.00003639247536285,,
NHA2,0.000207442813235886,0.000195438301951279,0.000161632023997912,,,0.0468112851419987,0.0585170433156251,0.0386872117282771,,
Sperm NHE,0,0,0,,,0,0,0,,